"","...1","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","sex","regulated"
"1","GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",51,-0.841038821644879,-2.5321736272973,1.28650221223632e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=96%, list=16%, signal=82%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG","female","mhc1"
"2","GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",54,-0.828527809213542,-2.51346923216821,1.9882532709704e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=93%, list=16%, signal=79%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG","female","mhc1"
"3","GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",66,-0.791165351937031,-2.46153623782609,1.90114626438846e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=80%, list=16%, signal=69%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/COX11/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/DMAC2L/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG/UQCC3","female","mhc1"
"4","GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",66,-0.791165351937031,-2.46153623782609,1.90114626438846e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=80%, list=16%, signal=69%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/COX11/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/DMAC2L/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG/UQCC3","female","mhc1"
"5","GO:0009060","GO:0009060","aerobic respiration",121,-0.678346348304975,-2.33444174343028,6.46880995204292e-12,2.42580373201609e-09,2.26943362678438e-09,611,"tags=74%, list=21%, signal=61%","PDHB/ACO1/SURF1/CYCS/UQCRH/PDHA1/COQ9/COX4I1/CS/COX6A2/ATP5F1C/SDHA/COX7A2L/FXN/NDUFC2/DLD/COX6B1/NDUFB4/UQCRFS1/NDUFB11/ATP5PO/CYC1/NDUFS4/PPIF/NDUFA13/SDHB/UQCRB/NDUFA4/NDUFAB1/NDUFB9/COX5A/ATP5F1D/NDUFV2/NDUFS8/UQCRC1/NDUFA12/NDUFB1/SDHC/NDUFB8/FH/COX5B/NDUFV3/SUCLA2/NDUFS3/NNT/ATP5PB/NDUFA10/OGDH/NDUFS5/NDUFB6/NDUFS1/DLST/NDUFA3/NDUFA2/NDUFS2/UQCRC2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/MRPS36/IDH2/ACO2/ATP5ME/NDUFA9/NDUFB3/NDUFA11/ISCU/UQCR10/MDH1/NDUFA7/SUCLG1/COX7A1/COX7A2/SUCLG2/NDUFC1/AFG1L/NDUFA6/UQCC2/NDUFB7/ATP5MG/UQCC3","female","mhc1"
"6","GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",64,-0.761336695318207,-2.36911103206232,1.43833800770474e-10,2.69688376444639e-08,2.52303952780088e-08,531,"tags=80%, list=19%, signal=66%","SAMM50/TIMM21/BCS1L/TMEM186/NDUFAF4/PET117/NUBPL/NDUFC2/NDUFB4/UQCRFS1/NDUFB11/NDUFS4/NDUFA13/NDUFAB1/NDUFB9/UQCC1/NDUFS8/NDUFA12/TACO1/NDUFB1/NDUFB8/LYRM7/NDUFS3/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/NDUFA5/NDUFA8/NDUFS7/NDUFB10/ACAD9/NDUFA1/TFAM/NDUFA9/NDUFB3/NDUFA11/TMEM126A/NDUFC1/NDUFA6/UQCC2/NDUFB7/COX20/DMAC1/CHCHD7/UQCC3/COA1/NDUFAF2","female","mhc1"
"7","GO:0046034","GO:0046034","ATP metabolic process",81,-0.674810438348873,-2.18122021708199,3.12409063607189e-08,3.41697413320363e-06,3.19671204120865e-06,470,"tags=72%, list=16%, signal=62%","ATP5F1C/SDHA/NDUFC2/NDUFB4/DNM1L/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/COX11/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/MYH3/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/DMAC2L/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG/UQCC3/ATP5IF1/MYH6/MYH7","female","mhc1"
"8","GO:0006631","GO:0006631","fatty acid metabolic process",120,-0.610583668961007,-2.09980626300269,3.09750958139072e-08,3.41697413320363e-06,3.19671204120865e-06,401,"tags=45%, list=14%, signal=40%","PRKAA1/THNSL2/GPX1/FABP3/NDUFAB1/ACSL1/PCCB/ETFDH/SIRT2/MGLL/PCCA/ACSF2/ACADM/CPT2/ACADSB/PTGR3/HSD17B10/CYGB/MMUT/RGN/ACAA1/ECHS1/ACADVL/ACAD9/ECI1/MLYCD/PDK2/HADH/MGST3/OXSM/ABHD5/HADHA/ACOT2/HADHB/HSD17B8/ACAT1/GGT5/AUH/ACADS/ECH1/CRAT/DECR1/CPT1B/AKR1C2/ETFA/PLIN5/ECI2/ETFB/ACAA2/ACSS1/AKR1C3/HTD2/ACOT1/CES2","female","mhc1"
"9","GO:0003229","GO:0003229","ventricular cardiac muscle tissue development",11,-0.947966384652739,-2.0658686623424,6.93584118078273e-08,6.27813210329471e-06,5.87343646996955e-06,15,"tags=55%, list=1%, signal=54%","MYL2/MYH6/MYH7/TNNC1/MYL3/TNNI1","female","mhc1"
"10","GO:0043500","GO:0043500","muscle adaptation",34,-0.801534780308582,-2.22109942560633,1.11982185773933e-07,9.79844125521917e-06,9.16682243545918e-06,12,"tags=21%, list=0%, signal=21%","MYH6/MYH7/ATP2A2/TNNC1/MYOZ2/TNNT1/TNNI1","female","mhc1"
"11","GO:0002026","GO:0002026","regulation of the force of heart contraction",15,-0.868096514460944,-2.00295657481367,1.27875348940313e-05,0.00055028326388249,0.00051481137028084,15,"tags=40%, list=1%, signal=40%","PLN/MYL2/MYH6/MYH7/ATP2A2/MYL3","female","mhc1"
"12","GO:1902600","GO:1902600","proton transmembrane transport",51,-0.668299938247846,-2.01209674893003,4.05477282771924e-05,0.0014783025934393,0.00138300950395745,636,"tags=65%, list=22%, signal=51%","CYB5A/SURF1/UQCRH/COX4I1/PHB2/ATP5F1C/COX7A2L/COX6B1/UQCRFS1/ATP5PO/CYC1/PPIF/NDUFA4/COX5A/ATP5F1D/UQCRC1/SLC25A3/COX5B/SLC25A4/NNT/ATP5PB/LETM1/ATP5F1B/ATP5PF/DMAC2L/NDUFS7/ATP5MF/ATP5F1A/ATP5PD/ATP5ME/UQCR10/COX7A1/ATP5MG","female","mhc1"
"13","GO:0030239","GO:0030239","myofibril assembly",44,-0.633857580344045,-1.84708326552399,0.00038958339521643,0.010542849612816,0.00986324537211013,80,"tags=16%, list=3%, signal=16%","ACTG1/PGM5/MYL2/MYH6/MYH7/MYOZ2/TNNT1","female","mhc1"
"14","GO:0006735","GO:0006735","NADH regeneration",12,0.830211328094951,1.93106388060587,0.00087313829415727,0.0214204488052602,0.0200396619800189,160,"tags=67%, list=6%, signal=63%","ENO3/PFKM/PGK1/PGK2/ENO2/PKM/PGAM2/PFKL","female","mhc2"
"15","GO:0045070","GO:0045070","positive regulation of viral genome replication",11,-0.814021659133113,-1.77396779389714,0.00116847585977263,0.0273861529634211,0.0256208099703905,10,"tags=27%, list=0%, signal=27%","PPID/DDX3X/SRPK2","female","mhc1"
"16","GO:0140694","GO:0140694","non-membrane-bounded organelle assembly",120,-0.466269280584528,-1.60350694816844,0.00166577541697733,0.0364388372463791,0.0340899477877904,80,"tags=8%, list=3%, signal=8%","ACTG1/DBNL/PGM5/LDAF1/MYL2/MYH6/MYH7/MYOZ2/TNNT1","female","mhc1"
"17","GO:0019646","GO:0019646","aerobic electron transport chain",63,-0.753163266088467,-2.37630912404083,5.70556873468426e-10,7.46049818935906e-07,7.00052762430083e-07,603,"tags=86%, list=21%, signal=69%","UQCRFS1/NDUFS8/NDUFA5/UQCR10/NDUFS7/NDUFB1/NDUFV3/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/NDUFA7/UQCRC2/NDUFB8/NDUFB5/NDUFA10/UQCR11/COQ9/NDUFAB1/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/UQCRB/COX4I1/NDUFB4/NDUFC1/NDUFS6/NDUFB10/NDUFA1/UQCRC1/NDUFA6/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/NDUFB7/NDUFA2/NDUFB3/COX6C/UQCC3","male","mhc1"
"18","GO:0042773","GO:0042773","ATP synthesis coupled electron transport",67,-0.747253499299305,-2.37447371911432,1.1368378193309e-09,7.46049818935906e-07,7.00052762430083e-07,603,"tags=84%, list=21%, signal=68%","UQCRFS1/NDUFS8/NDUFA12/NDUFA5/UQCR10/NDUFS7/NDUFB1/NDUFV3/GHITM/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/NDUFA7/UQCRC2/NDUFB8/NDUFB5/NDUFA10/UQCR11/COQ9/NDUFAB1/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/UQCRB/COX4I1/NDUFB4/NDUFC1/NDUFS6/NDUFB10/NDUFA1/UQCRC1/NDUFA6/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/NDUFB7/NDUFA2/NDUFB3/COX6C/UQCC3","male","mhc1"
"19","GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",67,-0.747253499299305,-2.37447371911432,1.1368378193309e-09,7.46049818935906e-07,7.00052762430083e-07,603,"tags=84%, list=21%, signal=68%","UQCRFS1/NDUFS8/NDUFA12/NDUFA5/UQCR10/NDUFS7/NDUFB1/NDUFV3/GHITM/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/NDUFA7/UQCRC2/NDUFB8/NDUFB5/NDUFA10/UQCR11/COQ9/NDUFAB1/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/UQCRB/COX4I1/NDUFB4/NDUFC1/NDUFS6/NDUFB10/NDUFA1/UQCRC1/NDUFA6/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/NDUFB7/NDUFA2/NDUFB3/COX6C/UQCC3","male","mhc1"
"20","GO:0009060","GO:0009060","aerobic respiration",121,-0.64757259788666,-2.26031400281888,9.47761218898749e-10,7.46049818935906e-07,7.00052762430083e-07,603,"tags=71%, list=21%, signal=59%","UQCRFS1/NDUFS8/NDUFA12/NDUFA5/UQCR10/NDUFS7/NDUFB1/FH/NDUFV3/CS/ATP5PO/GHITM/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/SIRT3/ATP5F1B/NDUFA7/SUCLA2/UQCRC2/ATP5F1C/NDUFB8/NDUFB5/CAT/NDUFA10/DLST/UQCR11/COQ9/NDUFAB1/FXN/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/ACO2/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/MRPS36/UQCRB/OGDH/COX4I1/ATP5PF/NDUFB4/NDUFC1/NDUFA13/IDH2/NDUFS6/NDUFB10/NDUFA11/PPIF/NNT/NDUFA1/UQCRC1/SUCLG1/NDUFA6/ATP5MF/ATP5F1A/DHTKD1/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/ATP5PD/ATP5PB/NDUFB7/NDUFA2/SUCLG2/ATP5ME/ATP5MG/NDUFB3/MDH1/COX6C/UQCC2/UQCC3","male","mhc1"
"21","GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",51,-0.773263614639956,-2.3434562844053,2.51057543094987e-09,1.31805210124868e-06,1.23678873861531e-06,601,"tags=92%, list=21%, signal=74%","NDUFS8/NDUFA12/NDUFA5/NDUFS7/NDUFB1/NDUFV3/ATP5PO/NDUFS5/SDHC/SDHA/NDUFV1/ATP5F1B/NDUFA7/ATP5F1C/NDUFB8/NDUFB5/NDUFA10/NDUFAB1/NDUFV2/NDUFB6/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/ATP5PF/NDUFB4/NDUFC1/NDUFA13/NDUFS6/NDUFB10/NDUFA11/NDUFA1/NDUFA6/ATP5MF/ATP5F1A/NDUFA9/NDUFB9/NDUFC2/ATP5PD/ATP5PB/NDUFB7/NDUFA2/ATP5ME/ATP5MG/NDUFB3","male","mhc1"
"22","GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",64,-0.735279584275482,-2.32632529436884,9.8833601864179e-09,3.24297756116838e-06,3.04303458371288e-06,603,"tags=78%, list=21%, signal=63%","UQCRFS1/NDUFS8/DMAC1/NDUFA12/NDUFA5/NDUFS7/NDUFB1/LYRM7/NDUFS5/SAMM50/TMEM223/BCS1L/TACO1/NDUFB8/NDUFB5/NDUFA10/PET117/NDUFAB1/TMEM186/NDUFB6/NDUFAF3/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COA3/NDUFB4/NDUFC1/NDUFA13/NDUFB10/NDUFA11/NDUFA1/TFAM/NDUFA6/NDUFA9/NDUFB9/NDUFC2/NDUFB7/UQCC1/NDUFA2/NDUFB3/TMEM126A/ACAD9/UQCC2/COX20/CHCHD7/COA1/UQCC3/NDUFAF2","male","mhc1"
