"","...1","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","fibertype","regulated"
"1","GO:0008544","GO:0008544","epidermis development",50,-0.719842497625676,-2.53768558054232,4.39607534236375e-10,5.04777879326581e-07,4.66645576177901e-07,236,"tags=42%, list=8%, signal=39%","FLOT2/DSP/CTNNB1/PPP3CA/FABP5/FLG2/ROCK1/KRT10/KRT2/KRT5/KRT1/KRT71/KRT9/KRT16/CSTA/FLG/YBX1/KRT14/CALML5/CASP14/S100A7","mhc1","female"
"2","GO:0006091","GO:0006091","generation of precursor metabolites and energy",235,0.469596856293572,2.07550917938958,3.87165629717888e-10,5.04777879326581e-07,4.66645576177901e-07,1017,"tags=60%, list=35%, signal=42%","UQCC3/FDX2/COX7C/SDHC/NDUFC1/GBE1/ACTN3/COX7A2L/ACSS1/ALDOC/COX11/NDUFB1/ATP5ME/NDUFA4/ETFDH/COX6C/COX6A2/SDHB/ATP5PO/CYC1/PPP1R3D/NQO2/ACADM/UQCRQ/COX5B/COX5A/SDHA/ME2/COQ10A/G6PD/RBKS/ENO2/UQCR10/ME1/NDUFA2/GSK3B/AFG1L/SLC4A1/UQCRH/SOD2/UQCRC1/PHKB/PDHB/GPD1/ACO1/PHKG1/UQCRB/ACO2/COX6B1/ACAT1/PDHA1/ATP5PF/UQCRC2/DLD/CYCS/PNPT1/TPI1/MDH2/PYGL/NDUFB10/POR/NDUFA7/ATP5MG/PHKA1/PPP2CA/ATP5F1A/MRPS36/BPGM/DLAT/GYG1/PPIF/NDUFS6/ETFB/DLST/COX4I1/IDH3A/SUCLG1/ATP5F1B/ENO3/FH/GAPDH/NDUFB4/UQCRFS1/PYGB/SUCLA2/CIAPIN1/NDUFV2/IDH2/OXCT1/COQ9/NDUFA8/GYS1/SLC25A4/IDH3G/PFKM/SIRT3/PYGM/GLRX2/NDUFB9/CS/NDUFS3/NDUFA6/COA6/ATP5F1C/ATP5MF/UQCC2/NDUFS4/NDUFS1/NDUFV1/NDUFB8/PGK1/PPP1CB/UGP2/FECH/PGM1/LDHA/ACSS3/PGAM2/GPI/RHOA/COX17/CISD1/MDH1/ETFA/ATP5PD/ATP5F1D/ACADVL/ATP5PB/UQCR11/NDUFA5/ADSL/GSR/TRAP1/PGAM1/NDUFA12/SUCLG2/NIPSNAP2/CYB5A/TKT/IDH3B/NDUFA10/PFKFB1","mhc1","male"
"3","GO:0002376","GO:0002376","immune system process",406,-0.392304298450965,-1.87047452781279,5.76230455852261e-10,5.04777879326581e-07,4.66645576177901e-07,410,"tags=24%, list=14%, signal=24%","BST2/DYSF/CFH/C9/PRKCQ/NONO/NEK7/FBN1/FLOT1/F2/SPPL2A/SWAP70/SERPINB9/EIF6/NCK1/HECTD1/CD34/NCK2/MPO/PAK2/CBFB/DDX3X/CD99L2/ADIPOQ/ACTL6A/TMEM14C/IGHV4-61/EPB42/CTSH/EIF2B3/AMBP/CLU/JAGN1/TTLL12/DBNL/FLOT2/OTUD4/IGHV3-9/GOLPH3/A2M/VAMP2/SNCA/CTNNB1/APOA1/ECM1/PITHD1/IGKV3-20/IGKC/AP1G1/SQSTM1/HLA-C/IGHA1/IGHG3/PPP3CA/CRK/TF/IGLC2/TRIM55/IGHG2/TFRC/PRXL2A/LSM14A/HPX/ADGRE5/PXDN/SRPK2/SIX4/CTSG/MAPKAPK3/IGHV3-7/IGKV3-7/PAK1/IGKV2-30/CHID1/ROCK1/SIPA1/CFB/NEDD4/JCHAIN/KRT1/APOD/DEFA1B/CTSC/ARG1/KRT16/S100A9/MYL11/CFHR1/S100A8/IGHM/AZGP1/PECAM1/S100A7/SRP54/LYZ/COL3A1/LTF/SAA1/PIP","mhc1","female"
"4","GO:0043588","GO:0043588","skin development",45,-0.736582216591419,-2.52555490308023,7.69064016848677e-10,5.05275059069581e-07,4.67105197601776e-07,228,"tags=42%, list=8%, signal=39%","DSP/CTNNB1/PPP3CA/JUP/FLG2/ROCK1/KRT10/KRT2/KRT5/KRT1/KRT71/KRT9/KRT16/CSTA/FLG/KRT14/CASP14/S100A7/COL3A1","mhc1","female"
"5","GO:0006952","GO:0006952","defense response",286,-0.420222273749852,-1.93540361542482,8.08520545042458e-09,3.0354171319594e-06,2.80611341046315e-06,410,"tags=26%, list=14%, signal=24%","BST2/CFH/C9/PRKCQ/NONO/NEK7/FLOT1/F2/SERPINB9/NCK1/MPO/MMRN2/PAK2/DDX3X/RAB1A/SERPINA3/MYLK3/ADIPOQ/BNIP3/CLU/JAGN1/TTLL12/CASP7/OTUD4/A2M/FABP4/SNCA/APOA1/CMA1/ECM1/IGKV3-20/SIGLEC1/ATRN/AP1G1/HLA-C/IGHA1/IGHG3/CRK/TF/TRIM55/IGHG2/TFRC/KNG1/AGT/LSM14A/HPX/SERPINA1/ITIH4/ADGRE5/SRPK2/CTSG/MAPKAPK3/PAK1/CHID1/CFB/NEDD4/JCHAIN/KRT1/ATG7/APOD/DEFA1B/CTSC/ARG1/KRT16/S100A9/CFHR1/S100A8/IGHM/S100A7/DCD/LYZ/LTF/SAA1","mhc1","female"
"6","GO:0001895","GO:0001895","retina homeostasis",23,-0.828570471498814,-2.4828293985759,1.81683377957797e-08,5.30515463636769e-06,4.90438872896604e-06,171,"tags=52%, list=6%, signal=49%","IGKC/IGHA1/IGHG3/TF/POTEJ/JCHAIN/KRT1/AZGP1/LYZ/LTF/LCN1/PIP","mhc1","female"
"7","GO:0140053","GO:0140053","mitochondrial gene expression",75,0.601218848635643,2.22776097346551,5.5991043709438e-08,1.3376769351673e-05,1.23662515675964e-05,686,"tags=63%, list=24%, signal=49%","NGRN/MRPS28/MRPS10/MRPS17/MRPL43/MRPL4/MRPS9/HSD17B10/MRPL48/MRPS34/MRPL13/PTCD3/MRPL12/GATC/MRPL3/TRMT10C/MRPL38/MRPL53/SUPV3L1/MRPL44/RCC1L/QRSL1/TBRG4/LARS2/MRPS23/PNPT1/TACO1/FASTKD2/C1QBP/NDUFA7/IARS2/GADD45GIP1/TSFM/MRPS11/EARS2/MRPS31/TFAM/MRPS27/MRPL39/MRPS30/MRPL37/MRPS7/LRPPRC/DARS2/TUFM/MRPS35/GFM1","mhc1","male"
"8","GO:0032543","GO:0032543","mitochondrial translation",66,0.600340673691373,2.18737769625998,3.31127934249141e-07,6.21574436576245e-05,5.74619001689487e-05,840,"tags=73%, list=29%, signal=53%","NGRN/MRPS28/MRPS10/MRPS17/MRPL43/MRPL4/MRPS9/MRPL48/MRPS34/MRPL13/PTCD3/MRPL12/GATC/MRPL3/TRMT10C/MRPL38/MRPL53/MRPL44/RCC1L/QRSL1/LARS2/MRPS23/TACO1/FASTKD2/C1QBP/NDUFA7/IARS2/GADD45GIP1/TSFM/MRPS11/EARS2/MRPS31/MRPS27/MRPL39/MRPS30/MRPL37/MRPS7/LRPPRC/DARS2/TUFM/MRPS35/GFM1/MTIF2/MRPL46/UQCC2/COA3/MRPL47/GARS1","mhc1","male"
"9","GO:0007155","GO:0007155","cell adhesion",248,-0.397721377223422,-1.80239091811848,1.56036439991309e-06,0.0001518754682582,0.00014040237953214,569,"tags=35%, list=20%, signal=30%","PDLIM1/DMTN/GNAS/MYBPC1/FGB/ASS1/ATP2A2/CYRIB/TGFBI/LAMA4/DHPS/PXN/COL6A2/ACTG1/SCN1B/PTPN11/TNXB/VTN/STAT5B/STX4/FGA/SSPN/SLK/EGFLAM/PRKCQ/LAMA5/NID1/FBN1/FLOT1/SWAP70/LAMC1/NCK1/CD34/NCK2/METAP1/LAMB1/MMRN2/CBFB/LAMA2/RAB1A/CD99L2/ADIPOQ/ACTL6A/AMBP/PLG/FLOT2/DSP/VCAN/GOLPH3/S100A11/CTNNB1/APOA1/TLN2/GPC4/SIGLEC1/PPP3CA/CRK/TFRC/KNG1/COL6A6/JUP/TIMM10B/CYTH1/ADGRE5/PXDN/NPTN/CTSG/CTNNA1/FLG2/ROCK1/SIPA1/LRG1/MYBPC2/APOD/ENG/ARG1/CSTA/S100A9/S100A8/SRCIN1/DSC1/AZGP1/PECAM1/DSG1/COL3A1/SAA1","mhc1","female"
"10","GO:0016477","GO:0016477","cell migration",248,-0.379242532329698,-1.71864861981335,1.24940184154055e-05,0.00117265287127449,0.00108406746250962,369,"tags=26%, list=13%, signal=25%","PXN/ACTG1/MAP2K3/PTPN11/RRAS2/TNXB/VTN/APOH/STAT5B/STX4/SLK/BST2/PRKCQ/LAMA5/SWAP70/LAMC1/NCK1/CD34/NCK2/LAMB1/MMRN2/LAMA2/RAB1A/CD99L2/ADIPOQ/CTSH/JAGN1/PLG/SRGAP3/GOLPH3/EMC10/S100A11/CTNNB1/APOA1/ECM1/GPC4/GLUL/PPP3CA/CRK/TRIM55/PPP1R9B/AGT/JUP/SIX4/CTSG/CTNNA1/PAK1/AKT2/ROCK1/KRT2/LRG1/KRT5/SERPINB3/APOD/DEFA1B/ENG/KRT16/S100A9/S100A8/SRCIN1/PECAM1/S100A7/SRP54/COL3A1/SAA1","mhc1","female"
